Frame,Wheelset,Frame_Flat_Time,Frame_Climb_Time,Frame_Aero_St,Frame_Weight_St,Frame_Price,Frame_Type,Frame_Level,Wheel_Flat_Time,Wheel_Climb_Time,Wheel_Aero_St,Wheel_Weight_St,Wheel_Price,Wheel_Level,Flat_Time,Climb_Time
Canyon Aero 2021,32mm Carbon,3079,2941,3,3,568000,Standard,10,3085,2968,2,2,0,0,3077.070784697558,2949.078615880045
Canyon Ult,32mm Carbon,3093,2940,2,4,461500,Standard,10,3085,2968,2,2,0,0,3091.7497970432346,2948.078615880047
Specialized Shiv,32mm Carbon,2998,3011,4,1,710000,TT,10,3085,2968,2,2,0,0,2987.2930069198032,3019.0786158800265
Specialized Shiv S-Works,32mm Carbon,2998,3002,4,1,852000,TT,10,3085,2968,2,2,0,0,2986.681895808694,3010.0786158800247
Spec Tarmac Pro,32mm Carbon,3093,2936,2,4,408300,Standard,11,3085,2968,2,2,0,0,3091.478192104964,2944.078615880046
Cann Synapse,32mm Carbon,3093.5,2951,2,3,298200,Standard,12,3085,2968,2,2,0,0,3093.5460933395284,2959.0786158800497
Van Rysel EDR,32mm Carbon,3094.5,2960,2,3,326600,Standard,12,3085,2968,2,2,0,0,3095.354735314834,2968.0786158800515
Cervelo S3D,32mm Carbon,3083.5,2972.5,3,2,468600,Standard,13,3085,2968,2,2,0,0,3085.049179759277,2980.578615880053
Giant TCR,32mm Carbon,3091.5,2945.5,3,3,745500,Standard,14,3085,2968,2,2,0,0,3092.345476055575,2953.578615880051
Spec Allez Spr,32mm Carbon,3083,2953,3,3,127800,Standard,14,3085,2968,2,2,0,0,3082.675722969158,2961.078615880049
Cervelo P5,32mm Carbon,2991,3003.5,4,1,710000,TT,15,3085,2968,2,2,0,0,2978.401031611166,3011.578615880022
Bridgestn SR9s,32mm Carbon,3093,2937.5,2,4,511200,Standard,15,3085,2968,2,2,0,0,3091.580043956815,2945.578615880046
Moots Vamoots,32mm Carbon,3094.5,2975,2,2,852000,Standard,15,3085,2968,2,2,0,0,3096.8238711173,2983.0786158800547
Mosaic RT-1d,32mm Carbon,3094.5,2975,2,2,852000,Standard,15,3085,2968,2,2,0,0,3096.8238711173,2983.0786158800547
Ventum One,32mm Carbon,2994.5,3035,3,3,638900,Standard,15,3085,2968,2,2,0,0,2982.262142722275,3043.078615880024
Chapter2 Rere,32mm Carbon,3088,2963,3,3,355000,Standard,16,3085,2968,2,2,0,0,3089.3423896358204,2971.078615880053
Parlee ESX,32mm Carbon,3091.5,2959.5,3,3,603500,Standard,16,3085,2968,2,2,0,0,3093.296093339523,2967.578615880054
Quintana Roo V-PR,32mm Carbon,2998,3010,4,1,638600,TT,16,3085,2968,2,2,0,0,2987.2251056852356,3018.078615880026
Scott Foil,32mm Carbon,3088,2952.5,3,3,781000,Standard,17,3085,2968,2,2,0,0,3088.6294266728596,2960.578615880051
Scott Plasma,32mm Carbon,2998,3003,4,1,852000,TT,17,3085,2968,2,2,0,0,2986.749797043262,3011.0786158800247
Chapter2 Toa,32mm Carbon,3080,2943,3,3,426000,Standard,18,3085,2968,2,2,0,0,3078.4041180308905,2951.0786158800456
Colnago V3RS,32mm Carbon,3094,2951.5,2,3,695800,Standard,18,3085,2968,2,2,0,0,3094.1788093889104,2959.57861588005
Spec Venge,32mm Carbon,3080,2963,3,3,461500,Standard,18,3085,2968,2,2,0,0,3079.7621427222443,2971.0786158800493
Specialized Shiv Disc,32mm Carbon,2986,3011,4,1,994000,TT,18,3085,2968,2,2,0,0,2972.922636549439,3019.078615880021
BMC SLR01,32mm Carbon,3093.5,2947,2,3,376200,Standard,19,3085,2968,2,2,0,0,3093.2744884012573,2955.078615880049
Canyon Ult CFR,32mm Carbon,3092,2935,2,4,639000,Standard,19,3085,2968,2,2,0,0,3090.2127600061995,2943.078615880045
Uran Nuclear,32mm Carbon,3077,2949,3,3,184500,Standard,19,3085,2968,2,2,0,0,3075.2189328457052,2957.0786158800456
Felt FR,32mm Carbon,3090,2940,3,3,851900,Standard,20,3085,2968,2,2,0,0,3090.175722969157,2948.0786158800497
Trek Madone,32mm Carbon,3079,2952,3,3,887500,Standard,20,3085,2968,2,2,0,0,3077.8176982778023,2960.078615880047
Canyon Speedmax,32mm Carbon,2998,3012.5,4,1,710000,TT,21,3085,2968,2,2,0,0,2987.394858771655,3020.5786158800265
BMC Road,32mm Carbon,3094.5,2964,2,3,780900,Standard,21,3085,2968,2,2,0,0,3095.626340253105,2972.0786158800524
Giant Propel,32mm Carbon,3081.5,2954.5,3,3,816500,Standard,22,3085,2968,2,2,0,0,3080.9812785247145,2962.5786158800483
Liv Langma Disc,32mm Carbon,3089.5,2945,3,3,745500,Standard,22,3085,2968,2,2,0,0,3089.9164637098975,2953.07861588005
Canyon Aero,32mm Carbon,3081.5,2960,3,3,532500,Standard,23,3085,2968,2,2,0,0,3081.354735314837,2968.0786158800493
BMC Time Machine,32mm Carbon,2998,3012,4,1,781000,TT,24,3085,2968,2,2,0,0,2987.360908154371,3020.0786158800265
Cervelo R5,32mm Carbon,3093.5,2941.5,2,4,461500,Standard,24,3085,2968,2,2,0,0,3092.450414327185,2949.578615880047
Pin Dogma 65.1,32mm Carbon,3091.5,2972,4,1,923000,TT,25,3085,2968,2,2,0,0,3096.613994574083,2980.078615880061
Cervelo S5,32mm Carbon,3079,2950,3,3,603500,Standard,25,3085,2968,2,2,0,0,3077.681895808667,2958.0786158800465
Canyon Speedmax CF SLX,32mm Carbon,2981,3009,4,1,891000,TT,26,3085,2968,2,2,0,0,2966.7991797593186,3017.0786158800183
BMC TeamMach,32mm Carbon,3089.5,2942.5,3,3,832900,Standard,26,3085,2968,2,2,0,0,3089.746710623478,2950.5786158800497
Trek Emonda SL,32mm Carbon,3094,2943,2,3,142000,Standard,26,3085,2968,2,2,0,0,3093.601648895085,2951.0786158800483
Cann SystemSix,32mm Carbon,3080,2964.5,3,3,497000,Standard,27,3085,2968,2,2,0,0,3079.8639945740956,2972.5786158800497
Cervelo S5 2020,32mm Carbon,3077,2949,3,3,852000,Standard,27,3085,2968,2,2,0,0,3075.2189328457052,2957.0786158800456
Cube Aerium,32mm Carbon,2998.5,3010.5,4,1,248500,TT,28,3085,2968,2,2,0,0,2987.857821734618,3018.578615880026
Parlee RZ7,32mm Carbon,3086,2961,3,3,511200,Standard,28,3085,2968,2,2,0,0,3086.811525438291,2969.078615880052
Pin Dogma F10,32mm Carbon,3086,2952.5,3,2,603500,Standard,29,3085,2968,2,2,0,0,3086.6849822284157,2960.5786158800506
Pinarello Bolide,32mm Carbon,2999,3020,3,3,958500,Standard,29,3085,2968,2,2,0,0,2986.6325130926457,3028.0786158800233
Spec Amira,32mm Carbon,3093.5,2946,2,3,142000,Standard,31,3085,2968,2,2,0,0,3093.2065871666896,2954.078615880049
Spec Amira S-Works,32mm Carbon,3093.5,2940,2,4,355000,Standard,31,3085,2968,2,2,0,0,3092.3485624753334,2948.078615880047
Zwift Aero,32mm Carbon,3085,2968,4,1,482800,TT,31,3085,2968,2,2,0,0,3088.5584390185313,2976.0786158800574
Cube Lite,32mm Carbon,3094,2942,2,3,177500,Standard,32,3085,2968,2,2,0,0,3093.5337476605173,2950.0786158800483
Cube Lite C:68X,32mm Carbon,3093,2936,2,4,373500,Standard,32,3085,2968,2,2,0,0,3091.478192104964,2944.078615880046
Pin Dogma F12,32mm Carbon,3083,2949,3,4,1029500,Standard,32,3085,2968,2,2,0,0,3081.953500746937,2957.078615880048
Trek Speed Concept SLR 9,32mm Carbon,2985.5,3042,4,1,958500,TT,32,3085,2968,2,2,0,0,2974.4288093889395,3050.078615880026
Scott Plasma RC Ultimate,32mm Carbon,2983,3001,4,1,1136000,TT,33,3085,2968,2,2,0,0,2968.651031611171,3009.078615880018
Scott Addict RC,32mm Carbon,3082.5,2935,3,4,852000,Standard,33,3085,2968,2,2,0,0,3080.404118030891,2943.0786158800447
Spec Venge S-Works,32mm Carbon,3077,2946,3,3,798800,Standard,33,3085,2968,2,2,0,0,3075.0152291420022,2954.078615880045
Felt IA 2.0,32mm Carbon,2983,3001,4,1,1136000,TT,34,3085,2968,2,2,0,0,2968.651031611171,3009.078615880018
Felt AR,32mm Carbon,3077,2946,3,3,639000,Standard,34,3085,2968,2,2,0,0,3075.0152291420022,2954.078615880045
Spec Aethos,32mm Carbon,3093,2930,2,4,923000,Standard,34,3085,2968,2,2,0,0,3091.0707846975574,2938.078615880045
Diamondback Andean,32mm Carbon,2998,3007.5,4,1,572900,TT,35,3085,2968,2,2,0,0,2987.0553525988166,3015.5786158800256
Cann SuperSix EVO,32mm Carbon,3090,2940,3,4,816500,Standard,36,3085,2968,2,2,0,0,3089.725105685207,2948.0786158800493
Felt IA,32mm Carbon,2984,3009.5,4,1,1065000,TT,37,3085,2968,2,2,0,0,2970.425722969194,3017.5786158800197
Pin Dogma F8,32mm Carbon,3091,2955,3,3,710000,Standard,39,3085,2968,2,2,0,0,3092.3917723518693,2963.078615880053
Zwift Buffalo,32mm Carbon,3106,3065.5,1,1,9500,Standard,40,3085,2968,2,2,0,0,3115.6232538333293,3073.5786158800734
CADEX Tri,32mm Carbon,2976.5,3006.5,4,1,1029500,TT,42,3085,2968,2,2,0,0,2961.240537784013,3014.5786158800156
Zwift Safety,32mm Carbon,3097,3006.5,2,2,3550000,Standard,44,3085,2968,2,2,0,0,3101.956587166675,3014.578615880062
Cervelo PX-Series,32mm Carbon,2984.5,3010,4,1,1065000,TT,45,3085,2968,2,2,0,0,2971.058439018576,3018.0786158800197
Zwift TT,32mm Carbon,3016,3027,4,1,0,TT,0,3085,2968,2,2,0,0,3009.9349822284325,3035.078615880037
Pinarello Bolide TT,Lightweight Meil,2999,3021,3,3,0,Standard,0,3071.5,2952,3,4,*,0,2973.675584434262,3006.701446631757
Spec Tarmac,Lightweight Meil,3093.5,2941,2,4,0,Standard,0,3071.5,2952,3,4,*,0,3079.3916338169493,2926.70144663178
Trek Emonda,Lightweight Meil,3093.5,2938,2,4,0,Standard,0,3071.5,2952,3,4,*,0,3079.1879301132462,2923.701446631779
Zwift Carbon,Lightweight Meil,3096,2987,2,3,0,Standard,0,3071.5,2952,3,4,*,0,3085.959535051506,2972.70144663179
Cann CAAD12,Lightweight Meil,3095,2970.5,2,2,184500,Standard,2,3071.5,2952,3,4,*,0,3084.0922511008916,2956.201446631787
Rid Helium,Lightweight Meil,3094,2958,2,3,461500,Standard,3,3071.5,2952,3,4,*,0,3081.5953375206486,2943.7014466317837
Spec Allez,Lightweight Meil,3094.5,2973.5,2,2,127800,Standard,4,3071.5,2952,3,4,*,0,3083.6971893724967,2959.2014466317873
Spec Roub,Lightweight Meil,3094,2955,2,3,461500,Standard,5,3071.5,2952,3,4,*,0,3081.3916338169456,2940.7014466317833
Spec Roub S-Works,Lightweight Meil,3093,2946.5,2,3,745500,Standard,5,3071.5,2952,3,4,*,0,3079.616942458923,2932.2014466317814
Spec Ruby,Lightweight Meil,3094,2955,2,3,461500,Standard,5,3071.5,2952,3,4,*,0,3081.3916338169456,2940.7014466317833
Spec Ruby S-Works,Lightweight Meil,3093.5,2946.5,2,3,745500,Standard,5,3071.5,2952,3,4,*,0,3080.215707891022,2932.2014466317814
Spec Tarmac SL7,Lightweight Meil,3090,2958,3,3,674500,Standard,5,3071.5,2952,3,4,*,0,3078.373115298424,2943.701446631786
Chapter2 Tere,Lightweight Meil,3093.5,2941.5,2,4,390500,Standard,6,3071.5,2952,3,4,*,0,3079.4255844342333,2927.20144663178
Ribble End,Lightweight Meil,3087,2966,3,3,390500,Standard,7,3071.5,2952,3,4,*,0,3075.3237325823743,2951.7014466317864
Zwift Steel,Lightweight Meil,3099.5,2995.5,1,2,142000,Standard,7,3071.5,2952,3,4,*,0,3089.610769619407,2981.2014466317896
Factor One,Lightweight Meil,3084.5,2966,3,3,426000,Standard,8,3071.5,2952,3,4,*,0,3072.329905421882,2951.701446631785
Focus Izalco,Lightweight Meil,3082.5,2950,3,3,426000,Standard,8,3071.5,2952,3,4,*,0,3068.8484239404047,2935.701446631781
Giant TCR Disc,Lightweight Meil,3091,2959,2,3,305300,Standard,8,3071.5,2952,3,4,*,0,3078.070646162625,2944.701446631783
Cann EVO,Lightweight Meil,3093,2934.5,2,4,213000,Standard,9,3071.5,2952,3,4,*,0,3078.3515103601603,2920.2014466317787
Rid Noah Fast,Lightweight Meil,3083.5,2964.5,3,3,426000,Standard,9,3071.5,2952,3,4,*,0,3071.030522705834,2950.201446631784
Canyon Aero 2021,Lightweight Meil,3079,2941,3,3,568000,Standard,10,3071.5,2952,3,4,*,0,3065,2927
Canyon Ult,Lightweight Meil,3093,2940,2,4,461500,Standard,10,3071.5,2952,3,4,*,0,3078.7249671502827,2925.7014466317796
Specialized Shiv,Lightweight Meil,2998,3011,4,1,710000,TT,10,3071.5,2952,3,4,*,0,2974.2681770268514,2996.701446631759
Specialized Shiv S-Works,Lightweight Meil,2998,3002,4,1,852000,TT,10,3071.5,2952,3,4,*,0,2973.6570659157424,2987.7014466317573
Spec Tarmac Pro,Lightweight Meil,3093,2936,2,4,408300,Standard,11,3071.5,2952,3,4,*,0,3078.453362212012,2921.701446631779
Cann Synapse,Lightweight Meil,3093.5,2951,2,3,298200,Standard,12,3071.5,2952,3,4,*,0,3080.5212634465765,2936.7014466317823
Van Rysel EDR,Lightweight Meil,3094.5,2960,2,3,326600,Standard,12,3071.5,2952,3,4,*,0,3082.3299054218824,2945.701446631784
Cervelo S3D,Lightweight Meil,3083.5,2972.5,3,2,468600,Standard,13,3071.5,2952,3,4,*,0,3072.0243498663253,2958.201446631786
Giant TCR,Lightweight Meil,3091.5,2945.5,3,3,745500,Standard,14,3071.5,2952,3,4,*,0,3079.3206461626232,2931.201446631784
Spec Allez Spr,Lightweight Meil,3083,2953,3,3,127800,Standard,14,3071.5,2952,3,4,*,0,3069.650893076206,2938.701446631782
Cervelo P5,Lightweight Meil,2991,3003.5,4,1,710000,TT,15,3071.5,2952,3,4,*,0,2965.3762017182144,2989.2014466317546
Bridgestn SR9s,Lightweight Meil,3093,2937.5,2,4,511200,Standard,15,3071.5,2952,3,4,*,0,3078.5552140638633,2923.201446631779
Moots Vamoots,Lightweight Meil,3094.5,2975,2,2,852000,Standard,15,3071.5,2952,3,4,*,0,3083.799041224348,2960.7014466317873
Mosaic RT-1d,Lightweight Meil,3094.5,2975,2,2,852000,Standard,15,3071.5,2952,3,4,*,0,3083.799041224348,2960.7014466317873
Ventum One,Lightweight Meil,2994.5,3035,3,3,638900,Standard,15,3071.5,2952,3,4,*,0,2969.237312829323,3020.701446631757
Chapter2 Rere,Lightweight Meil,3088,2963,3,3,355000,Standard,16,3071.5,2952,3,4,*,0,3076.3175597428685,2948.701446631786
Parlee ESX,Lightweight Meil,3091.5,2959.5,3,3,603500,Standard,16,3071.5,2952,3,4,*,0,3080.271263446571,2945.201446631787
Quintana Roo V-PR,Lightweight Meil,2998,3010,4,1,638600,TT,16,3071.5,2952,3,4,*,0,2974.2002757922837,2995.7014466317587
Scott Foil,Lightweight Meil,3088,2952.5,3,3,781000,Standard,17,3071.5,2952,3,4,*,0,3075.6045967799078,2938.201446631784
Scott Plasma,Lightweight Meil,2998,3003,4,1,852000,TT,17,3071.5,2952,3,4,*,0,2973.72496715031,2988.7014466317573
Chapter2 Toa,Lightweight Meil,3080,2943,3,3,426000,Standard,18,3071.5,2952,3,4,*,0,3066,2929
Colnago V3RS,Lightweight Meil,3094,2951.5,2,3,695800,Standard,18,3071.5,2952,3,4,*,0,3081.1539794959585,2937.201446631783
Spec Venge,Lightweight Meil,3080,2963,3,3,461500,Standard,18,3071.5,2952,3,4,*,0,3066.7373128292925,2948.7014466317823
Specialized Shiv Disc,Lightweight Meil,2986,3011,4,1,994000,TT,18,3071.5,2952,3,4,*,0,2959.8978066564873,2996.7014466317537
BMC SLR01,Lightweight Meil,3093.5,2947,2,3,376200,Standard,19,3071.5,2952,3,4,*,0,3080.2496585083054,2932.7014466317814
Canyon Ult CFR,Lightweight Meil,3092,2935,2,4,639000,Standard,19,3071.5,2952,3,4,*,0,3077.1879301132476,2920.7014466317783
Uran Nuclear,Lightweight Meil,3077,2949,3,3,184500,Standard,19,3071.5,2952,3,4,*,0,3062.1941029527534,2934.7014466317787
Felt FR,Lightweight Meil,3090,2940,3,3,851900,Standard,20,3071.5,2952,3,4,*,0,3077.150893076205,2925.701446631783
Trek Madone,Lightweight Meil,3079,2952,3,3,887500,Standard,20,3071.5,2952,3,4,*,0,3064.7928683848504,2937.70144663178
Canyon Speedmax,Lightweight Meil,2998,3012.5,4,1,710000,TT,21,3071.5,2952,3,4,*,0,2974.370028878703,2998.201446631759
BMC Road,Lightweight Meil,3094.5,2964,2,3,780900,Standard,21,3071.5,2952,3,4,*,0,3082.601510360153,2949.701446631785
Giant Propel,Lightweight Meil,3081.5,2954.5,3,3,816500,Standard,22,3071.5,2952,3,4,*,0,3067.9564486317627,2940.2014466317814
Liv Langma Disc,Lightweight Meil,3089.5,2945,3,3,745500,Standard,22,3071.5,2952,3,4,*,0,3076.8916338169456,2930.7014466317833
Canyon Aero,Lightweight Meil,3081.5,2960,3,3,532500,Standard,23,3071.5,2952,3,4,*,0,3068.329905421885,2945.7014466317823
BMC Time Machine,Lightweight Meil,2998,3012,4,1,781000,TT,24,3071.5,2952,3,4,*,0,2974.336078261419,2997.701446631759
Cervelo R5,Lightweight Meil,3093.5,2941.5,2,4,461500,Standard,24,3071.5,2952,3,4,*,0,3079.4255844342333,2927.20144663178
Pin Dogma 65.1,Lightweight Meil,3091.5,2972,4,1,923000,TT,25,3071.5,2952,3,4,*,0,3083.589164681131,2957.7014466317937
Cervelo S5,Lightweight Meil,3079,2950,3,3,603500,Standard,25,3071.5,2952,3,4,*,0,3064.657065915715,2935.7014466317796
Canyon Speedmax CF SLX,Lightweight Meil,2981,3009,4,1,891000,TT,26,3071.5,2952,3,4,*,0,2953.7743498663667,2994.701446631751
BMC TeamMach,Lightweight Meil,3089.5,2942.5,3,3,832900,Standard,26,3071.5,2952,3,4,*,0,3076.721880730526,2928.201446631783
Trek Emonda SL,Lightweight Meil,3094,2943,2,3,142000,Standard,26,3071.5,2952,3,4,*,0,3080.576819002133,2928.701446631781
Cann SystemSix,Lightweight Meil,3080,2964.5,3,3,497000,Standard,27,3071.5,2952,3,4,*,0,3066.8391646811438,2950.201446631783
Cervelo S5 2020,Lightweight Meil,3077,2949,3,3,852000,Standard,27,3071.5,2952,3,4,*,0,3062.1941029527534,2934.7014466317787
Cube Aerium,Lightweight Meil,2998.5,3010.5,4,1,248500,TT,28,3071.5,2952,3,4,*,0,2974.832991841666,2996.2014466317587
Parlee RZ7,Lightweight Meil,3086,2961,3,3,511200,Standard,28,3071.5,2952,3,4,*,0,3073.786695545339,2946.701446631785
Pin Dogma F10,Lightweight Meil,3086,2952.5,3,2,603500,Standard,29,3071.5,2952,3,4,*,0,3073.660152335464,2938.2014466317837
Pinarello Bolide,Lightweight Meil,2999,3020,3,3,958500,Standard,29,3071.5,2952,3,4,*,0,2973.607683199694,3005.7014466317564
Spec Amira,Lightweight Meil,3093.5,2946,2,3,142000,Standard,31,3071.5,2952,3,4,*,0,3080.1817572737377,2931.7014466317814
Spec Amira S-Works,Lightweight Meil,3093.5,2940,2,4,355000,Standard,31,3071.5,2952,3,4,*,0,3079.3237325823816,2925.7014466317796
Zwift Aero,Lightweight Meil,3085,2968,4,1,482800,TT,31,3071.5,2952,3,4,*,0,3075.5336091255795,2953.70144663179
Cube Lite,Lightweight Meil,3094,2942,2,3,177500,Standard,32,3071.5,2952,3,4,*,0,3080.5089177675654,2927.701446631781
Cube Lite C:68X,Lightweight Meil,3093,2936,2,4,373500,Standard,32,3071.5,2952,3,4,*,0,3078.453362212012,2921.701446631779
Pin Dogma F12,Lightweight Meil,3083,2949,3,4,1029500,Standard,32,3071.5,2952,3,4,*,0,3068.9286708539853,2934.701446631781
Trek Speed Concept SLR 9,Lightweight Meil,2985.5,3042,4,1,958500,TT,32,3071.5,2952,3,4,*,0,2961.4039794959876,3027.7014466317587
Scott Plasma RC Ultimate,Lightweight Meil,2983,3001,4,1,1136000,TT,33,3071.5,2952,3,4,*,0,2955.6262017182194,2986.7014466317505
Scott Addict RC,Lightweight Meil,3082.5,2935,3,4,852000,Standard,33,3071.5,2952,3,4,*,0,3068,2921
Spec Venge S-Works,Lightweight Meil,3077,2946,3,3,798800,Standard,33,3071.5,2952,3,4,*,0,3063,2932
Felt IA 2.0,Lightweight Meil,2983,3001,4,1,1136000,TT,34,3071.5,2952,3,4,*,0,2955.6262017182194,2986.7014466317505
Felt AR,Lightweight Meil,3077,2946,3,3,639000,Standard,34,3071.5,2952,3,4,*,0,3061.9903992490504,2931.7014466317783
Spec Aethos,Lightweight Meil,3093,2930,2,4,923000,Standard,34,3071.5,2952,3,4,*,0,3079,2916
Diamondback Andean,Lightweight Meil,2998,3007.5,4,1,572900,TT,35,3071.5,2952,3,4,*,0,2974.0305227058648,2993.2014466317582
Cann SuperSix EVO,Lightweight Meil,3090,2940,3,4,816500,Standard,36,3071.5,2952,3,4,*,0,3076.700275792255,2925.7014466317823
Felt IA,Lightweight Meil,2984,3009.5,4,1,1065000,TT,37,3071.5,2952,3,4,*,0,2957.400893076242,2995.2014466317523
Pin Dogma F8,Lightweight Meil,3091,2955,3,3,710000,Standard,39,3071.5,2952,3,4,*,0,3079.3669424589175,2940.701446631786
Zwift Buffalo,Lightweight Meil,3106,3065.5,1,1,9500,Standard,40,3071.5,2952,3,4,*,0,3102.5984239403774,3051.201446631806
CADEX Tri,Lightweight Meil,2976.5,3006.5,4,1,1029500,TT,42,3071.5,2952,3,4,*,0,2948.2157078910614,2992.2014466317482
Zwift Safety,Lightweight Meil,3097,3006.5,2,2,3550000,Standard,44,3071.5,2952,3,4,*,0,3088.931757273723,2992.2014466317946
Cervelo PX-Series,Lightweight Meil,2984.5,3010,4,1,1065000,TT,45,3071.5,2952,3,4,*,0,2958.033609125624,2995.7014466317523
Zwift TT,Lightweight Meil,3016,3027,4,1,0,TT,0,3071.5,2952,3,4,*,0,2996.9101523354807,3012.7014466317696
Pinarello Bolide TT,Zwift Classic,2999,3021,3,3,0,Standard,0,3091,2976,1,1,35600,2,2991.873881400326,3041.2268607315104
Spec Tarmac,Zwift Classic,3093.5,2941,2,4,0,Standard,0,3091,2976,1,1,35600,2,3097.589930783013,2961.2268607315336
Trek Emonda,Zwift Classic,3093.5,2938,2,4,0,Standard,0,3091,2976,1,1,35600,2,3097.38622707931,2958.2268607315327
Zwift Carbon,Zwift Classic,3096,2987,2,3,0,Standard,0,3091,2976,1,1,35600,2,3104.15783201757,3007.2268607315436
Cann CAAD12,Zwift Classic,3095,2970.5,2,2,184500,Standard,2,3091,2976,1,1,35600,2,3102.2905480669556,2990.7268607315405
Rid Helium,Zwift Classic,3094,2958,2,3,461500,Standard,3,3091,2976,1,1,35600,2,3099.7936344867126,2978.2268607315373
Spec Allez,Zwift Classic,3094.5,2973.5,2,2,127800,Standard,4,3091,2976,1,1,35600,2,3101.8954863385607,2993.726860731541
Spec Roub,Zwift Classic,3094,2955,2,3,461500,Standard,5,3091,2976,1,1,35600,2,3099.5899307830095,2975.226860731537
Spec Roub S-Works,Zwift Classic,3093,2946.5,2,3,745500,Standard,5,3091,2976,1,1,35600,2,3097.815239424987,2966.726860731535
Spec Ruby,Zwift Classic,3094,2955,2,3,461500,Standard,5,3091,2976,1,1,35600,2,3099.5899307830095,2975.226860731537
Spec Ruby S-Works,Zwift Classic,3093.5,2946.5,2,3,745500,Standard,5,3091,2976,1,1,35600,2,3098.4140048570857,2966.726860731535
Spec Tarmac SL7,Zwift Classic,3090,2958,3,3,674500,Standard,5,3091,2976,1,1,35600,2,3096.571412264488,2978.2268607315395
Chapter2 Tere,Zwift Classic,3093.5,2941.5,2,4,390500,Standard,6,3091,2976,1,1,35600,2,3097.6238814002973,2961.7268607315336
Ribble End,Zwift Classic,3087,2966,3,3,390500,Standard,7,3091,2976,1,1,35600,2,3093.5220295484382,2986.22686073154
Zwift Steel,Zwift Classic,3099.5,2995.5,1,2,142000,Standard,7,3091,2976,1,1,35600,2,3107.809066585471,3015.726860731543
Factor One,Zwift Classic,3084.5,2966,3,3,426000,Standard,8,3091,2976,1,1,35600,2,3090.528202387946,2986.2268607315386
Focus Izalco,Zwift Classic,3082.5,2950,3,3,426000,Standard,8,3091,2976,1,1,35600,2,3087.0467209064686,2970.2268607315345
Giant TCR Disc,Zwift Classic,3091,2959,2,3,305300,Standard,8,3091,2976,1,1,35600,2,3096.268943128689,2979.2268607315364
Cann EVO,Zwift Classic,3093,2934.5,2,4,213000,Standard,9,3091,2976,1,1,35600,2,3096.5498073262243,2954.7268607315323
